datetime,open,high,low,close,volume,average,barCount,start_time,VIX,QQQ_close,XLK_close,returns,volatility_20,volume_ma_ratio,close_QQQ_spread,close_XLK_spread
2023-04-20 06:00:00-04:00,88.81,89.0,88.68,89.0,8509.0,88.862,33,2023-04-20 06:00:00-04:00,17.31,316.03,74.08,0.0013501350135014523,0.004250051886358977,0.005279243208790904,-227.02999999999997,14.920000000000002
2023-04-20 07:00:00-04:00,89.14,89.29,89.05,89.06,15612.0,89.184,72,2023-04-20 07:00:00-04:00,17.41,315.63,74.06,0.000674157303370837,0.004240267251092996,0.009688092086270934,-226.57,15.0
2023-04-20 08:00:00-04:00,89.05,90.17,89.0,89.28,65520.0,89.199,206,2023-04-20 08:00:00-04:00,17.44,316.1,74.11,0.0024702447788007564,0.0039769874147070235,0.04058247747477392,-226.82000000000002,15.170000000000002
2023-04-20 09:00:00-04:00,89.2,90.94,88.7,90.79,5997668.0,90.13,20149,2023-04-20 09:00:00-04:00,17.51,317.26,74.28,0.016913082437276072,0.0053397009639034425,3.1347845101817535,-226.46999999999997,16.510000000000005
2023-04-20 10:00:00-04:00,90.79,91.44,90.62,90.85,8723897.0,90.995,28183,2023-04-20 10:00:00-04:00,16.83,317.57,74.38,0.0006608657341116153,0.005339576667093616,3.7144682951975265,-226.72,16.47
2023-04-20 11:00:00-04:00,90.85,91.18,90.23,90.98,5662399.0,90.653,16853,2023-04-20 11:00:00-04:00,16.83,317.75,74.49,0.0014309301045680733,0.005283991779994601,2.1538740621731924,-226.76999999999998,16.49000000000001
2023-04-20 12:00:00-04:00,90.99,91.43,90.76,91.32,3860388.0,91.067,12485,2023-04-20 12:00:00-04:00,16.5,318.65,74.74,0.0037370850736424543,0.00522899769360706,1.370707759148244,-227.32999999999998,16.58
2023-04-20 13:00:00-04:00,91.33,91.58,90.95,91.0,3577784.0,91.296,11865,2023-04-20 13:00:00-04:00,16.47,318.54,74.69,-0.003504161191414723,0.0051495412789007156,1.3409505522178855,-227.54000000000002,16.310000000000002
2023-04-20 14:00:00-04:00,90.99,91.06,89.86,90.35,5573552.0,90.381,16701,2023-04-20 14:00:00-04:00,17.05,316.62,74.22,-0.0071428571428572285,0.005443843419529767,2.0731732379433323,-226.27,16.129999999999995
2023-04-20 15:00:00-04:00,90.36,90.41,89.5,90.12,6277229.0,89.881,23072,2023-04-20 15:00:00-04:00,17.29,316.31,74.12,-0.002545655783065759,0.005486478260177325,2.1947572703446174,-226.19,16.0
2023-04-20 16:00:00-04:00,90.11,90.25,90.02,90.14,2541522.0,90.11,192,2023-04-20 16:00:00-04:00,17.17,316.62,74.27,0.0002219263204614741,0.005400555353915268,0.8987675886525412,-226.48000000000002,15.870000000000005
2023-04-20 17:00:00-04:00,90.12,90.17,90.11,90.15,49537.0,90.124,57,2023-04-20 17:00:00-04:00,17.17,316.53,74.22,0.00011093854004884385,0.005294693836570989,0.018817817001031738,-226.37999999999997,15.930000000000007
2023-04-20 18:00:00-04:00,90.12,90.2,90.12,90.14,24971.0,90.17,45,2023-04-20 18:00:00-04:00,17.17,316.48,74.25,-0.00011092623405439817,0.005184668451520449,0.010206693201235045,-226.34000000000003,15.89
2023-04-20 19:00:00-04:00,90.17,90.54,90.17,90.4,35695.0,90.357,133,2023-04-20 19:00:00-04:00,17.17,316.46,74.17,0.002884402041269274,0.00522077581609358,0.016255354288053848,-226.05999999999997,16.230000000000004
2023-04-21 04:00:00-04:00,90.36,90.36,89.9,90.0,9130.0,90.012,30,2023-04-21 04:00:00-04:00,17.31,316.55,74.17,-0.004424778761062065,0.005306260110310079,0.0042967638802827455,-226.55,15.829999999999998
2023-04-21 05:00:00-04:00,90.05,90.15,90.0,90.11,16568.0,90.094,31,2023-04-21 05:00:00-04:00,17.38,316.15,74.17,0.0012222222222222356,0.0053116610558362155,0.007799075516756421,-226.03999999999996,15.939999999999998
2023-04-21 06:00:00-04:00,90.22,90.22,89.6,89.6,15928.0,89.94,74,2023-04-21 06:00:00-04:00,17.66,314.82,73.67,-0.005659749195427888,0.005470718652314881,0.007498446042624249,-225.22,15.929999999999993
2023-04-21 07:00:00-04:00,89.69,89.9,89.49,89.75,25032.0,89.758,109,2023-04-21 07:00:00-04:00,17.47,315.08,73.63,0.0016741071428572063,0.005463646025693079,0.011782800232464596,-225.32999999999998,16.120000000000005
2023-04-21 08:00:00-04:00,89.52,90.56,89.52,90.0,80652.0,89.833,360,2023-04-21 08:00:00-04:00,17.24,315.82,73.83,0.0027855153203342198,0.004866950569576159,0.03789739383524543,-225.82,16.17
2023-04-21 09:00:00-04:00,90.0,90.28,88.68,88.7,6779136.0,89.165,23454,2023-04-21 09:00:00-04:00,17.17,314.41,73.43,-0.014444444444444371,0.005899243757969746,2.7478864367812643,-225.71000000000004,15.269999999999996
2023-04-21 10:00:00-04:00,88.7,89.48,88.43,88.81,7212594.0,88.958,24630,2023-04-21 10:00:00-04:00,17.43,315.52,73.61,0.0012401352874860105,0.005897886601242187,2.551107162541909,-226.70999999999998,15.200000000000003
